Time	Node	Type	Packets	
11	69	CacheMisses	257
11	70	CacheHits	427
11	70	CacheMisses	253
11	71	CacheHits	182
11	71	CacheMisses	258
11	72	CacheHits	364
11	72	CacheMisses	254
11	73	CacheHits	330
11	73	CacheMisses	253
11	74	CacheHits	214
11	74	CacheMisses	264
11	75	CacheHits	179
11	75	CacheMisses	263
11	76	CacheHits	122
11	76	CacheMisses	262
11	77	CacheHits	209
11	77	CacheMisses	259
11	78	CacheHits	242
11	78	CacheMisses	261
11	79	CacheHits	205
11	79	CacheMisses	260
11	80	CacheHits	378
11	80	CacheMisses	258
11	81	CacheHits	171
11	81	CacheMisses	258
11	82	CacheHits	437
11	82	CacheMisses	247
11	83	CacheHits	336
11	83	CacheMisses	254
11	84	CacheHits	321
11	84	CacheMisses	253
11	85	CacheHits	309
11	85	CacheMisses	254
11	86	CacheHits	277
11	86	CacheMisses	259
11	87	CacheHits	374
11	87	CacheMisses	252
11	88	CacheHits	439
11	88	CacheMisses	248
11	89	CacheHits	285
11	89	CacheMisses	255
11	90	CacheHits	220
11	90	CacheMisses	260
11	91	CacheHits	267
11	91	CacheMisses	251
11	92	CacheHits	203
11	92	CacheMisses	257
11	93	CacheHits	231
11	93	CacheMisses	260
11	94	CacheHits	191
11	94	CacheMisses	259
11	95	CacheHits	206
11	95	CacheMisses	260
11	96	CacheHits	198
11	96	CacheMisses	264
11	97	CacheHits	615
11	97	CacheMisses	249
11	98	CacheHits	285
11	98	CacheMisses	255
11	99	CacheHits	456
11	99	CacheMisses	258
12	50	CacheHits	303
12	50	CacheMisses	230
12	51	CacheHits	318
12	51	CacheMisses	232
12	52	CacheHits	316
12	52	CacheMisses	232
12	53	CacheHits	424
12	53	CacheMisses	230
12	54	CacheHits	331
12	54	CacheMisses	225
12	55	CacheHits	292
12	55	CacheMisses	231
12	56	CacheHits	297
